image_name_pair,image_name_isolate1,image_name_isolate2
11809,15300,13774
11874,15875,15260
11911,16454,15637
12005,16562,2767
12080,17001,3316
13144,17175,3843
16698,6067,4626
16796,6205,5196
16891,645,575
17027,6857,5769
4896,7152,6631
5746,7170,6836
6222,7251,7813
6771,8381,7818
6961,921,7962
11961,1013,13774
12254,13272,15260
12257,13892,15637
12333,16165,2767
12457,16484,3316
13279,16741,3843
13352,3243,4626
14045,3622,5196
14742,4006,575
15439,4454,5769
15945,5853,6631
16040,6508,6836
17376,6812,7813
3623,8455,7818
6430,989,7962
13073,13808,15300
13684,14436,15875
14977,15002,16454
15690,15433,16562
16540,15819,17001
16693,16183,17175
4324,2724,6067
4865,3044,6205
6135,4194,645
6163,4319,6857
6294,6530,7152
7612,703,7170
7628,7679,7251
7834,8307,8381
8287,8329,921
13281,1013,15300
13456,13272,15875
13906,13892,16454
14318,16165,16562
14395,16484,17001
15180,16741,17175
15743,3243,6067
16840,3622,6205
13503,13808,13774
14550,14436,15260
14847,15002,15637
15123,15433,2767
15191,15819,3316
15737,16183,3843
16497,2724,4626
4394,3044,5196
4608,4194,575
4679,4319,5769
4809,6530,6631
5850,703,6836
6050,7679,7813
6162,8307,7818
6703,8329,7962
13577,13808,1013
15348,14436,13272
16361,15002,13892
16559,15433,16165
16961,15819,16484
17295,16183,16741
17413,2724,3243
2758,3044,3622
3501,4194,4006
5545,4319,4454
5561,6530,5853
5806,703,6508
7033,7679,6812
7553,8307,8455
8701,8329,989
2915,15300,1013
3837,15875,13272
4128,16454,13892
4650,16562,16165
7032,17001,16484
7199,17175,16741
7243,6067,3243
